Rectangle,Width,Height,X,Y
R,0.410651,0.985234,0,0
R,0.512459,0.980685,0.410651,0
R,0.0180024,0.977741,0.92311,0
R,0.00866266,0.776658,0.941112,0
R,0.00948163,0.724544,0.949775,0
R,0.00274422,0.444184,0.959256,0
R,0.0239458,0.334191,0.962001,0
R,0.392736,0.97772,0,0.985234
R,0.162199,0.973451,0.392736,0.985234
R,0.161798,0.960048,0.554935,0.985234
R,0.115113,0.943766,0.716733,0.985234
R,0.0607281,0.841096,0.831846,0.985234
R,0.0921469,0.743574,0.892574,0.985234
R,0.0143722,0.0319861,0.984721,0.985234
R,0.678832,0.954297,0,1.96295
R,0.253546,0.880086,0.678832,1.96295
R,0.0507267,0.533969,0.932379,1.96295
R,0.793492,0.899929,0,2.91725
R,0.154986,0.772706,0.793492,2.91725
R,0.0473791,0.114459,0.948478,2.91725
R,0.936457,0.825936,0,3.81718
R,0.0626848,0.488729,0.936457,3.81718
R,0.332521,0.781845,0,4.64312
R,0.255467,0.779814,0.332521,4.64312
R,0.334343,0.769492,0.587989,4.64312
R,0.0628856,0.244297,0.922332,4.64312
R,0.517146,0.774951,0,5.42496
R,0.122889,0.732445,0.517146,5.42496
R,0.301734,0.725777,0.640035,5.42496
R,0.03879,0.0956527,0.941769,5.42496
R,0.889661,0.773229,0,6.19991
R,0.0836154,0.0651808,0.889661,6.19991
R,0.695909,0.751272,0,6.97314
R,0.23226,0.620411,0.695909,6.97314
R,0.0427463,0.0394228,0.928168,6.97314
R,0.609113,0.724209,0,7.72441
R,0.335563,0.67648,0.609113,7.72441
R,0.534269,0.713398,0,8.44862
R,0.37142,0.622522,0.534269,8.44862
R,0.830504,0.679252,0,9.16202
R,0.162458,0.485963,0.830504,9.16202
R,0.990988,0.676943,0,9.84127
R,0.719507,0.669823,0,10.5182
R,0.188883,0.579981,0.719507,10.5182
R,0.900818,0.604034,0,11.188
R,0.444812,0.595675,0,11.7921
R,0.30161,0.58821,0.444812,11.7921
R,0.22195,0.57861,0.746422,11.7921
R,0.433678,0.586697,0,12.3877
R,0.294319,0.579492,0.433678,12.3877
R,0.126034,0.410201,0.727997,12.3877
R,0.142684,0.34483,0.854031,12.3877
R,0.920155,0.583619,0,12.9744
R,0.858202,0.579794,0,13.5581
R,0.666092,0.576641,0,14.1379
R,0.293806,0.43396,0.666092,14.1379
R,0.699675,0.560777,0,14.7145
R,0.24203,0.318991,0.699675,14.7145
R,0.682514,0.550028,0,15.2753
R,0.307277,0.31811,0.682514,15.2753
R,0.508488,0.520141,0,15.8253
R,0.485811,0.481197,0.508488,15.8253
R,0.555208,0.505729,0,16.3454
R,0.338526,0.441289,0.555208,16.3454
R,0.612978,0.481355,0,16.8512
R,0.333826,0.35796,0.612978,16.8512
R,0.826633,0.4513,0,17.3325
R,0.161021,0.299781,0.826633,17.3325
R,0.979879,0.446794,0,17.7838
R,0.465882,0.443293,0,18.2306
R,0.473405,0.433043,0.465882,18.2306
R,0.594898,0.419283,0,18.6739
R,0.403649,0.304258,0.594898,18.6739
R,0.93029,0.411566,0,19.0932
R,0.87476,0.395648,0,19.5048
R,0.510732,0.394649,0,19.9004
R,0.487761,0.273908,0.510732,19.9004
R,0.981163,0.35807,0,20.2951
R,0.67609,0.353351,0,20.6531
R,0.306661,0.170073,0.67609,20.6531
R,0.556969,0.324563,0,21.0065
R,0.411103,0.199479,0.556969,21.0065
R,0.495551,0.301724,0,21.331
R,0.491701,0.283095,0.495551,21.331
R,0.719282,0.263293,0,21.6328
R,0.270114,0.129095,0.719282,21.6328
R,0.881157,0.24891,0,21.8961
R,0.541267,0.188605,0,22.145
R,0.40568,0.125419,0.541267,22.145
R,0.929141,0.152971,0,22.3336
R,0.198751,0.117738,0,22.4865
R,0.262801,0.0972341,0.198751,22.4865
R,0.460419,0.0936601,0.461552,22.4865
R,0.726674,0.0921666,0,22.6043
R,0.510911,0.0842104,0,22.6965
R,0.648675,0.081226,0,22.7807
R,0.733517,0.0524936,0,22.8619
R,0.614791,0.0223775,0,22.9144
R,0.922691,0.0154401,0,22.9368
R,0.62223,0.0081227,0,22.9522
